Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees
Morocco,2014,2018,3,0.0,0.0,16.0,6.0,22.0,0.0,6.0,5.0,0.0,100.0,0.0,26.0,37.0,2.0,0.0,6.0,120.0,142.0,100.0,142.0,0.0
Morocco,2015,2018,4,0.0,0.0,5.0,6.0,34.0,0.0,6.0,20.0,0.0,100.0,0.0,12.0,24.0,6.0,0.0,9.0,130.0,144.0,100.0,144.0,0.0
Morocco,2016,2018,12,0.0,0.0,20.0,0.0,26.0,0.0,9.0,14.0,0.0,100.0,0.0,18.0,23.0,3.0,0.0,7.0,110.0,137.0,100.0,137.0,0.0
Morocco,2017,2020,2,0.0,0.0,14.0,0.0,25.0,0.0,5.0,11.0,0.0,130.0,0.0,0.0,25.0,0.0,0.0,12.0,140.0,166.0,130.0,166.0,0.0
Morocco,2018,2023,4,0.0,0.0,11.0,0.0,40.0,0.0,11.0,24.0,0.0,145.0,0.0,0.0,47.0,0.0,0.0,5.0,200.0,216.0,145.0,216.0,0.0
Morocco,2019,2023,4,0.0,0.0,24.0,0.0,20.0,0.0,5.0,24.0,0.0,135.0,0.0,0.0,17.0,0.0,0.0,7.0,145.0,176.0,135.0,176.0,0.0
Morocco,2020,2023,4,0.0,0.0,24.0,0.0,31.0,0.0,7.0,25.0,0.0,140.0,0.0,0.0,27.0,0.0,0.0,8.0,160.0,192.0,140.0,192.0,0.0
Morocco,2021,2023,4,0.0,0.0,25.0,0.0,33.0,0.0,7.0,40.0,0.0,145.0,0.0,0.0,46.0,0.0,0.0,6.0,200.0,231.0,145.0,231.0,0.0
Morocco,2022,2023,9,0.0,0.0,40.0,0.0,35.0,0.0,6.0,26.0,0.0,140.0,0.0,0.0,40.0,0.0,0.0,10.0,156.0,206.0,140.0,206.0,0.0
Morocco,2023,2024,1,0.0,0.0,26.0,0.0,33.0,0.0,7.0,24.0,0.0,140.0,0.0,0.0,50.0,0.0,0.0,8.0,180.0,214.0,140.0,214.0,0.0
Mexico,2014,2020,2,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,18.0,0.0,19.0,0.0,19.0,19.0,19.0,0.0
Mexico,2015,2021,3,0.0,0.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,102.0,0.0,0.0,1.0,18.0,0.0,105.0,0.0,105.0,102.0,105.0,0.0
Mexico,2016,2021,3,0.0,0.0,2.0,0.0,0.0,2.0,20.0,1.0,0.0,81.0,0.0,0.0,2.0,18.0,0.0,82.0,0.0,84.0,81.0,84.0,0.0
Mexico,2017,2021,3,0.0,0.0,1.0,0.0,0.0,2.0,24.0,3.0,0.0,92.0,0.0,0.0,1.0,18.0,0.0,95.0,0.0,96.0,92.0,96.0,0.0
Mexico,2018,2023,4,0.0,0.0,3.0,0.0,0.0,2.0,18.0,0.0,0.0,34.0,0.0,0.0,2.0,16.0,0.0,33.0,0.0,36.0,34.0,36.0,0.0
Mexico,2019,2023,4,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,14.0,0.0,0.0,11.0,21.0,0.0,25.0,0.0,25.0,14.0,25.0,0.0
Mexico,2020,2023,4,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,25.0,0.0,0.0,2.0,26.0,0.0,27.0,0.0,27.0,25.0,27.0,0.0
Mexico,2021,2023,4,0.0,0.0,0.0,0.0,0.0,2.0,122.0,11.0,0.0,35.0,0.0,0.0,74.0,23.0,0.0,120.0,0.0,120.0,35.0,120.0,0.0
Mexico,2022,2023,12,0.0,0.0,11.0,0.0,0.0,2.0,45.0,4.0,0.0,27.0,0.0,0.0,2.0,20.0,0.0,22.0,0.0,33.0,27.0,33.0,0.0
Mexico,2023,2024,1,0.0,0.0,4.0,0.0,0.0,2.0,37.0,0.0,0.0,22.0,0.0,0.0,2.0,20.0,0.0,20.0,0.0,24.0,22.0,24.0,0.0
Russia,2014,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,21.0,21.0,0.0
Russia,2015,2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0
Russia,2016,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,24.0,24.0,0.0
Russia,2017,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,26.0,26.0,0.0
Russia,2018,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,29.0,29.0,0.0
Russia,2019,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,33.0,33.0,0.0
Russia,2020,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0,37.0,37.0,0.0
Russia,2021,2022,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0
Russia,2022,2023,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0
Russia,2023,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,0.0
Saudi Arabia,2014,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,23.0,0.0,0.0,0.0,7.0,0.0,20.0,3.0,23.0,23.0,23.0,0.0
Saudi Arabia,2015,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,28.0,0.0,0.0,1.0,8.0,0.0,30.0,3.0,33.0,28.0,33.0,0.0
Saudi Arabia,2016,2021,3,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,1.0,8.0,0.0,24.0,3.0,31.0,30.0,31.0,0.0
Saudi Arabia,2017,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,35.0,34.0,35.0,0.0
Saudi Arabia,2018,2023,4,0.0,21.0,1.0,0.0,0.0,0.0,30.0,2.0,0.0,35.0,0.0,0.0,1.0,3.0,0.0,34.0,3.0,38.0,35.0,38.0,0.0
Saudi Arabia,2019,2023,4,0.0,21.0,2.0,0.0,0.0,0.0,33.0,3.0,0.0,37.0,0.0,0.0,0.0,5.0,0.0,35.0,3.0,40.0,37.0,40.0,0.0
Saudi Arabia,2020,2023,4,0.0,21.0,3.0,0.0,0.0,0.0,40.0,8.0,0.0,40.0,0.0,0.0,1.0,4.0,0.0,43.0,3.0,49.0,40.0,49.0,0.0
Saudi Arabia,2021,2023,4,0.0,21.0,8.0,0.0,0.0,0.0,38.0,7.0,0.0,40.0,0.0,0.0,1.0,5.0,0.0,37.0,3.0,48.0,40.0,48.0,0.0
Saudi Arabia,2022,2023,8,0.0,21.0,7.0,0.0,0.0,0.0,32.0,5.0,0.0,45.0,0.0,0.0,0.0,4.0,0.0,40.0,3.0,50.0,45.0,50.0,0.0
Saudi Arabia,2023,2024,1,0.0,21.0,5.0,0.0,0.0,0.0,45.0,2.0,0.0,40.0,0.0,0.0,1.0,6.0,0.0,35.0,3.0,43.0,40.0,43.0,0.0
Syria,2014,2020,11,450.0,0.0,41.0,0.0,5.0,0.0,0.0,40.0,0.0,100.0,0.0,0.0,7.0,0.0,0.0,1.0,105.0,147.0,100.0,147.0,0.0
Syria,2015,2021,8,450.0,0.0,40.0,0.0,22.0,0.0,0.0,24.0,0.0,90.0,0.0,0.0,37.0,0.0,0.0,1.0,110.0,151.0,90.0,151.0,0.0
Syria,2016,2021,8,450.0,0.0,24.0,0.0,12.0,0.0,0.0,18.0,0.0,90.0,0.0,0.0,27.0,0.0,0.0,1.0,110.0,135.0,90.0,135.0,0.0
Syria,2017,2021,8,450.0,0.0,18.0,0.0,13.0,0.0,0.0,11.0,0.0,70.0,0.0,0.0,38.0,0.0,0.0,1.0,100.0,119.0,70.0,119.0,0.0
Syria,2018,2021,8,450.0,0.0,11.0,0.0,25.0,0.0,0.0,10.0,0.0,60.0,0.0,0.0,46.0,0.0,0.0,1.0,104.0,116.0,60.0,116.0,0.0
Syria,2019,2022,5,450.0,0.0,10.0,0.0,45.0,0.0,0.0,8.0,0.0,65.0,0.0,0.0,56.0,0.0,0.0,1.0,118.0,129.0,65.0,129.0,0.0
Syria,2020,2022,5,450.0,0.0,8.0,0.0,40.0,0.0,0.0,8.0,0.0,60.0,0.0,0.0,56.0,0.0,0.0,1.0,115.0,124.0,60.0,124.0,0.0
Syria,2021,2023,4,450.0,0.0,8.0,0.0,36.0,0.0,0.0,18.0,0.0,60.0,0.0,0.0,36.0,0.0,0.0,0.0,106.0,114.0,60.0,114.0,0.0
Syria,2022,2023,4,450.0,0.0,18.0,0.0,60.0,0.0,0.0,18.0,0.0,60.0,0.0,0.0,66.0,0.0,0.0,1.0,125.0,144.0,60.0,144.0,0.0
Syria,2023,2024,1,450.0,0.0,18.0,0.0,55.0,0.0,0.0,8.0,0.0,60.0,0.0,0.0,70.0,0.0,0.0,0.0,120.0,138.0,60.0,138.0,0.0
Switzerland,2014,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,14.0,14.0,14.0,0.0
Switzerland,2015,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,14.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0
Switzerland,2016,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,14.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0
Switzerland,2017,2018,4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0
Switzerland,2018,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0
Switzerland,2019,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,0.0,0.0,15.0,0.0,19.0,0.0,19.0,19.0,19.0,0.0
Switzerland,2020,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,17.0,17.0,17.0,0.0
Switzerland,2021,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,17.0,17.0,17.0,0.0
Switzerland,2022,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0
Switzerland,2023,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,17.0,0.0,12.0,0.0,12.0,12.0,12.0,0.0
Tunisia,2014,2021,12,0.0,1800.0,77.0,52.0,272.0,0.0,0.0,120.0,0.0,30.0,0.0,212.0,279.0,0.0,0.0,2.0,350.0,429.0,30.0,429.0,75000.0
Tunisia,2015,2022,3,0.0,1800.0,120.0,20.0,114.0,0.0,0.0,133.0,0.0,30.0,0.0,69.0,110.0,0.0,0.0,3.0,150.0,273.0,30.0,273.0,84000.0
Tunisia,2016,2022,3,0.0,1818.0,133.0,14.0,91.0,0.0,0.0,112.0,0.0,30.0,0.0,63.0,93.0,0.0,0.0,2.0,100.0,235.0,30.0,235.0,86000.0
Tunisia,2017,2022,3,0.0,1900.0,112.0,45.0,198.0,0.0,0.0,197.0,0.0,35.0,0.0,137.0,208.0,0.0,0.0,3.0,325.0,440.0,35.0,440.0,88000.0
Tunisia,2018,2022,3,0.0,1920.0,197.0,30.0,140.0,0.0,0.0,130.0,0.0,35.0,0.0,95.0,173.0,0.0,0.0,1.0,140.0,338.0,35.0,338.0,90000.0
Tunisia,2019,2022,5,0.0,1940.0,130.0,50.0,220.0,0.0,0.0,182.0,0.0,35.0,0.0,150.0,355.0,0.0,0.0,2.0,440.0,572.0,35.0,572.0,92000.0
Tunisia,2020,2022,5,0.0,1980.0,182.0,75.0,150.0,0.0,0.0,38.0,0.0,35.0,0.0,100.0,253.0,0.0,0.0,2.0,142.0,326.0,35.0,326.0,94000.0
Tunisia,2021,2023,4,0.0,2000.0,38.0,80.0,175.0,0.0,0.0,43.0,0.0,40.0,0.0,100.0,196.0,0.0,0.0,1.0,240.0,279.0,40.0,279.0,96000.0
Tunisia,2022,2023,11,0.0,0.0,43.0,70.0,140.0,0.0,0.0,40.0,0.0,35.0,0.0,95.0,170.0,0.0,0.0,2.0,200.0,245.0,35.0,245.0,96000.0
Tunisia,2023,2024,1,0.0,2000.0,40.0,55.0,200.0,0.0,0.0,32.0,0.0,35.0,0.0,85.0,175.0,0.0,0.0,2.0,200.0,242.0,35.0,242.0,96000.0
Turkey,2014,2020,11,0.0,0.0,18.0,2.0,14.0,0.0,3.0,30.0,0.0,145.0,0.0,1.0,19.0,0.0,0.0,6.0,170.0,194.0,145.0,194.0,142000.0
Turkey,2015,2021,3,0.0,0.0,30.0,5.0,19.0,0.0,0.0,34.0,0.0,135.0,0.0,2.0,26.0,0.0,0.0,15.0,150.0,195.0,135.0,195.0,145000.0
Turkey,2016,2021,3,0.0,0.0,34.0,15.0,54.0,0.0,0.0,19.0,0.0,145.0,0.0,22.0,54.0,0.0,0.0,6.0,178.0,218.0,145.0,218.0,148000.0
Turkey,2017,2023,4,0.0,0.0,19.0,20.0,70.0,0.0,11.0,34.0,0.0,175.0,0.0,50.0,80.0,0.0,0.0,7.0,263.0,289.0,175.0,289.0,150000.0
Turkey,2018,2023,4,0.0,0.0,34.0,15.0,61.0,0.0,33.0,15.0,0.0,180.0,0.0,50.0,62.0,0.0,0.0,29.0,194.0,257.0,180.0,257.0,152500.0
Turkey,2019,2023,4,0.0,0.0,15.0,15.0,60.0,0.0,43.0,43.0,0.0,185.0,0.0,50.0,60.0,0.0,0.0,43.0,230.0,288.0,185.0,288.0,153000.0
Turkey,2020,2023,4,0.0,0.0,43.0,15.0,60.0,0.0,29.0,40.0,0.0,190.0,0.0,50.0,60.0,0.0,0.0,37.0,210.0,290.0,190.0,290.0,154500.0
Turkey,2021,2023,4,0.0,0.0,40.0,15.0,103.0,0.0,37.0,19.0,0.0,190.0,0.0,52.0,78.0,0.0,0.0,22.0,225.0,287.0,190.0,287.0,154500.0
Turkey,2022,2023,10,0.0,0.0,19.0,30.0,110.0,0.0,37.0,64.0,0.0,190.0,0.0,100.0,200.0,0.0,0.0,60.0,375.0,454.0,190.0,454.0,154500.0
Turkey,2023,2024,1,0.0,0.0,64.0,20.0,100.0,0.0,47.0,39.0,0.0,195.0,0.0,65.0,170.0,0.0,0.0,30.0,310.0,404.0,195.0,404.0,154500.0
United States,2014,2019,10,0.0,0.0,0.0,0.0,7.0,0.0,312.0,0.0,0.0,310.0,0.0,0.0,8.0,236.0,0.0,310.0,8.0,318.0,310.0,318.0,0.0
United States,2015,2019,10,0.0,0.0,0.0,0.0,7.0,0.0,315.0,0.0,0.0,336.0,0.0,0.0,8.0,237.0,0.0,330.0,14.0,344.0,336.0,344.0,0.0
United States,2016,2020,7,0.0,0.0,0.0,0.0,8.0,0.0,320.0,0.0,0.0,318.0,0.0,0.0,13.0,274.0,0.0,316.0,15.0,331.0,318.0,331.0,0.0
United States,2017,2021,7,0.0,0.0,0.0,0.0,10.0,0.0,340.0,0.0,0.0,326.0,0.0,0.0,12.0,275.0,0.0,322.0,16.0,338.0,326.0,338.0,0.0
United States,2018,2021,7,0.0,0.0,0.0,0.0,7.0,0.0,347.0,0.0,0.0,365.0,0.0,0.0,7.0,300.0,0.0,356.0,16.0,372.0,365.0,372.0,0.0
United States,2019,2021,7,0.0,0.0,0.0,0.0,10.0,0.0,408.0,0.0,0.0,406.0,0.0,0.0,7.0,320.0,0.0,397.0,16.0,413.0,406.0,413.0,0.0
United States,2020,2022,8,0.0,0.0,0.0,0.0,10.0,0.0,390.0,0.0,0.0,395.0,0.0,0.0,11.0,320.0,0.0,390.0,16.0,406.0,395.0,406.0,0.0
United States,2021,2023,7,0.0,0.0,0.0,0.0,5.0,0.0,400.0,0.0,0.0,422.0,0.0,0.0,4.0,340.0,0.0,410.0,16.0,426.0,422.0,426.0,0.0
United States,2022,2023,11,0.0,0.0,0.0,0.0,7.0,0.0,400.0,0.0,0.0,381.0,0.0,0.0,6.0,300.0,0.0,371.0,16.0,387.0,381.0,387.0,0.0
United States,2023,2024,1,0.0,0.0,0.0,0.0,10.0,0.0,400.0,0.0,0.0,356.0,0.0,0.0,10.0,335.0,0.0,350.0,16.0,366.0,356.0,366.0,0.0
United Kingdom,2016,2021,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,75.0,0.0,0.0,2.0,0.0,0.0,80.0,0.0,82.0,75.0,82.0,0.0
United Kingdom,2017,2021,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,65.0,0.0,0.0,3.0,0.0,0.0,70.0,0.0,75.0,65.0,75.0,0.0
United Kingdom,2018,2021,5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,80.0,0.0,0.0,3.0,0.0,0.0,86.0,0.0,93.0,80.0,93.0,0.0
United Kingdom,2019,2021,5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,83.0,0.0,0.0,3.0,0.0,0.0,86.0,0.0,96.0,83.0,96.0,0.0
United Kingdom,2020,2022,1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,88.0,0.0,0.0,2.0,0.0,0.0,90.0,0.0,100.0,88.0,100.0,0.0
United Kingdom,2021,2023,1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,91.0,0.0,101.0,90.0,101.0,0.0
United Kingdom,2022,2023,9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,73.0,0.0,0.0,3.0,0.0,0.0,70.0,0.0,79.0,73.0,79.0,0.0
United Kingdom,2023,2024,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,62.0,0.0,0.0,3.0,0.0,0.0,65.0,0.0,68.0,62.0,68.0,0.0
